Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites,retweets
Hearthstone,1209608880,877640,"RT @HSesports: We're LIVE! The action continues for day 2 of the #HCT World Championship!

📺Tune in: https://t.co/SWPQb7Syil https://t.co/c…",HCT,Fri Apr 26 01:58:58 +0000 2019,80,18
Hearthstone,1209608880,877640,"RT @Blizzard_Ent: BlizzCon 2019 will be November 1-2 at the Anaheim Convention Center!  New this year: BlizzCon Pregame Festivities, new ti…",[],Thu Apr 25 14:24:45 +0000 2019,3459,803
Hearthstone,1209608880,877640,"RT @HSesports: ✨ And just like that, we're in Dalaran! ✨ https://t.co/uZB8Mbmszu",[],Thu Apr 25 07:01:11 +0000 2019,1161,152
Hearthstone,1209608880,877640,"Win or lose, Stonebrew’s Tavern is a place to celebrate all the close games, awesome plays, and friends we’ve made… https://t.co/D6oIGVWgbQ",[],Thu Apr 25 02:19:24 +0000 2019,3167,780
Hearthstone,1209608880,877640,RT @HSesports: We're LIVE from Taipei with the start of the #HCT World Championship! 🏆 The top 16 players from across the globe are competi…,HCT,Thu Apr 25 01:55:58 +0000 2019,157,37
Hearthstone,1209608880,877640,"Catch the Raven Bundle before it takes flight! Filled with packs from the Year of the Raven, and only available unt… https://t.co/WH8gbW3QJi",[],Tue Apr 23 17:23:31 +0000 2019,171,30
Hearthstone,1209608880,877640,"RT @HSesports: Twitch Drops are inbound for the #HCT World Championship! 🎁
🔸 Watch 4 hours and get a Rise of Shadows card pack!
🔸 Every hou…",HCT,Tue Apr 23 15:54:26 +0000 2019,346,72
Hearthstone,1209608880,877640,Rise of Shadows? Valeera The Hollow knows all about that! Tread carefully in Wild as she'll make sure you learn to… https://t.co/JtCq9GJpRO,[],Tue Apr 23 13:51:41 +0000 2019,250,20
Hearthstone,1209608880,877640,"Can you handle the metal? Guitarist @HaarasNC shows what it means to shred in his #RiseOfShadows cover. 
 
🤘… https://t.co/UkNnOh2iWZ",RiseOfShadows,Mon Apr 22 18:00:08 +0000 2019,57,8
Hearthstone,1209608880,877640,This kicks off in just a few minutes at 10 AM PDT! https://t.co/rnKm7oYyhO,[],Mon Apr 22 16:47:36 +0000 2019,95,11
Hearthstone,1209608880,877640,"Watch as @firebat provides an in-depth breakdown of how you can plan for your next Rogue encounter!

⚔️… https://t.co/zs9aptI6Jm",[],Sat Apr 20 18:26:35 +0000 2019,134,18
Hearthstone,1209608880,877640,"Join us for a #RiseOfShadows Q&amp;A on the Official Hearthstone Forums this Monday, April 22! 

❓… https://t.co/gbFUbcL07Q",RiseOfShadows,Fri Apr 19 21:49:15 +0000 2019,139,15
Hearthstone,1209608880,877640,"RT @HSTopDecks: HCT World Championship 2019 is near! 16 players from around the world will fight for their share of $1,000,000 prize pool a…",[],Fri Apr 19 13:46:24 +0000 2019,83,17
Hearthstone,1209608880,877640,"Creator @F2K_Slysssa dives into the current state of Mana Pools, breaking down what you should keep in mind when pl… https://t.co/gC7EUhiCqx",[],Thu Apr 18 18:05:10 +0000 2019,78,7
Hearthstone,1209608880,877640,Choose Your Champion is back for the HCT World Championship! Pick your winner and share a photo of who you think is… https://t.co/mOW4RNmtva,[],Thu Apr 18 17:00:02 +0000 2019,98,19
Hearthstone,1209608880,877640,Apologies to @PathraCadness for our original post linking to a different video that was not hers! We didn't want to… https://t.co/Z36VhD9gFS,[],Thu Apr 18 13:55:29 +0000 2019,76,2
