Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
JARUIS SANZ,UC_tW4lSbuMF297G1jU200WQ,"One thing is for sure , Danerys makes it to the very last episode... Emilia Clarke indirectly gave it away... 1 lucky fan will get to watch the very last episode privately with Emilia Clarke before it airs on HBO...",UgxXOYn2tWfEhDTdEA54AaABAg,0,0,2019-04-27T01:26:43.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Mi Mi,UCHVlAczpRG-UhX1RrDP05Xg,"1:25 the scene where Sansa casts a look, this scene that is neither present in episode 1 nor in episode 2 and as we see that it is the day and behind it there are the towers of Winterfell maybe Winterfell will win the battle",UgzNiN_hnib0OW7ReIt4AaABAg,0,0,2019-04-27T00:55:20.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Madison Caito,UCIk-w-iINagq-wmYiM7Sg8g,1:25 and 1:28 ... the only two clips that were not in episodes 1 or 2 and are not  battle scenes.,UgwceQWM9QDGWoqUpZh4AaABAg,0,0,2019-04-26T23:15:26.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Agusta Sister,UCfSQrMaePXB4S9e9NvtS4fQ,"Watch ""Why This ‘Game of Thrones’ Star Wants You to Stop Buying Huskies | NowThis"" on YouTube
https://youtu.be/o4Sa6FwmrRk",UgxBrwfpijS45xTneI94AaABAg,0,0,2019-04-26T21:14:56.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Göksu AYDIN,UCGuszLOfY-tC_wWPhfed-Dw,"Cersei was sad and she was drinking wine due to the ""ELEPHANTS"" 1:08",UgwIRN6-TP_h5WPDuFt4AaABAg,0,0,2019-04-26T21:12:13.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Samrat Siddhat,UCdxzBdnsMepThJJ92X71BPA,"If the Avengers Endgame is the king of world cinema,this show is the king of world television.",Ugwq9NSKRtB9PUgTnCV4AaABAg,0,0,2019-04-26T19:33:35.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Jarin,UCAL_ieUPvMN1JxftoQdhaXg,"Well, I've relalised there are only first 3 episodes in the trailer. Like the rest is super epic secret or they just don't want to let us know, who is going to survive the battle?",UgxjAjD81sRWdepjkJ94AaABAg,2,0,2019-04-26T17:24:02.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Zooqan Pawar,UCiya2P_JYU3Gy9QhejR4bNg,Stay strong. The week is nearly over.,Ugw8YylaXQo3altQbdZ4AaABAg,0,0,2019-04-26T17:11:53.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Eric Marc Martin,UCEhrfu9VDMm9YZiET-tr7uw,"Might be a #MajorSpoiler

""Everything you did brought you where you are now. Where you belong. Home""

After watching multiple theories about it, I realized something... Winterfell is the Night King's home.

Maester Luwin revealed in Season 2 that ""There are... hidden passageways built so the Lords of Winterfell could escape."".

There must be a hidden tunnel from Last Heart to Winterfell because... Night King is a Stark and was a Lord before. He knows the way to get in.

And that is why Arya was seen scared and running away from someone.",Ugw-cmSHGwXdDlc3N6F4AaABAg,0,0,2019-04-26T16:54:49.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Nemo,UCEMFBc7Is9JlKNk7WyWPuxw,Grateful to HBO and G.R.R Martin for presenting  us such a great show. GOT is a part of my life. It never seems fantasy or man made it seems real. Every moment when i watch GOT I found myself in westeros. It's hard to believe that it's going to end 😪😪,Ugyy2zWW_K7hEOTEoul4AaABAg,0,0,2019-04-26T15:44:47.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
